@relation alexnet_grafico

@attribute predict_base_transfer_alexnet numeric
@attribute probability_interval_transfer_alexnet numeric
@attribute probability_previous_transfer_alexnet numeric
@attribute probability_next_transfer_alexnet numeric
@attribute time_previous_transfer_alexnet numeric
@attribute time_next_transfer_alexnet numeric
@attribute Class {0,1}

@data
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
